movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_horas,exceso_velocidad_real,exceso_velocidad
MOV-00005,B-017,ONEPLATA,R-03,MUELLEE,SOJA,VALPARAISO,2024-05-13,16:58,2024-05-13,02:16,6166.47,16.2,15,PENDIENTE,,1.1999999999999993,0.4499999999999993
MOV-00012,B-023,ONEPARANA,R-04,MUELLEF,SOJA,SHANGHAI,1900-01-01,05:51,2024-11-06,01:51,6969.71,11.2,10,RECHAZADO,,1.1999999999999993,0.6999999999999993
MOV-00013,B-015,ZIMDELTA,R-01,MUELLEF,TRIGO,ROTTERDAM,2021-12-20,20:32,2021-12-23,05:43,4918.63,13.1,12,EN_REVISION,57.18333333333333,1.0999999999999996,0.4999999999999982
MOV-00014,B-003,MAERSKPAMPAS,,MUELLEE,TRIGO,SHANGHAI,2023-06-30,10:42,2023-07-01,19:13,6604.27,13.9,12,RECHAZADO,32.516666666666666,1.9000000000000004,1.299999999999999
MOV-00016,B-032,COSCOTIGRE,R-04,MUELLEB,GRANOS,BUENOS AIRES,2022-11-26,14:03,2022-11-28,02:49,5421.5,17.3,15,RECHAZADO,36.766666666666666,2.3000000000000007,1.5500000000000007
MOV-00017,B-016,PILSANTA,R-08,MUELLEF,TRIGO,VALPARAISO,2021-11-18,10:57,2021-11-19,18:54,5870.05,13.2,12,,31.95,1.1999999999999993,0.5999999999999979
MOV-00018,B-023,YANGMING,R-07,MUELLED,TRIGO,HAMBURG,2021-11-19,21:43,2021-11-22,00:22,4801.28,15.4,12,PENDIENTE,50.65,3.4000000000000004,2.799999999999999
MOV-00026,B-006,YANGESTE,R-01,MUELLED,ACEITE,VALPARAISO,2023-04-17,00:48,2023-04-18,00:00,7576.43,16.2,15,DESPACHADO,23.2,1.1999999999999993,0.4499999999999993
MOV-00027,B-026,ZIMNORTE,R-01,MUELLED,SOJA,SHANGHAI,2024-11-06,16:52,2024-11-06,19:10,3586.83,19.1,12,EN_REVISION,2.3,7.100000000000001,6.5
MOV-00029,B-033,PILSANTA,R-01,MUELLEC,HARINA,HAMBURG,2023-02-04,17:24,2023-02-07,03:49,3696.06,13.1,12,PENDIENTE,58.416666666666664,1.0999999999999996,0.4999999999999982
MOV-00031,B-028,MAERSKLIMA,R-02,MUELLED,MAIZ,VALPARAISO,2022-01-04,11:27,2022-01-05,01:21,7051.4,13.5,12,DESPACHADO,13.9,1.5,0.8999999999999986
MOV-00035,B-020,MAERSKPAMPAS,R-02,MUELLEB,GRANOS,SANTA FE,2024-12-22,17:08,2024-12-24,21:41,,12.0,10,EN_REVISION,52.55,2.0,1.5
MOV-00040,B-014,CMAROSARIO,R-08,MUELLEB,SOJA,SHANGHAI,2024-07-11,13:54,2024-07-11,07:21,5727.86,13.6,10,EN_REVISION,,3.5999999999999996,3.0999999999999996
MOV-00045,B-013,MSCALPHA,R-08,MUELLEE,MAIZ,SANTA FE,1900-01-01,02:32,2024-01-03,16:59,7045.67,15.9,12,RECHAZADO,,3.9000000000000004,3.299999999999999
MOV-00046,B-017,YANGESTE,R-03,MUELLEC,SOJA,MONTEVIDEO,2022-03-13,04:38,2022-03-13,04:59,4352.23,16.1,15,EN_REVISION,0.35,1.1000000000000014,0.3500000000000014
MOV-00051,B-025,EVERGREEN02,R-05,MUELLEF,GRANOS,SHANGHAI,2020-07-31,18:47,2020-08-02,14:51,,16.0,15,DESPACHADO,44.06666666666667,1.0,0.25
MOV-00053,B-019,MSCALPHA,R-02,MUELLEA,ACEITE,VALPARAISO,2023-11-13,14:22,2023-11-16,06:21,3200.68,13.6,10,EN_REVISION,63.983333333333334,3.5999999999999996,3.0999999999999996
